,available_beds_without_oxygen,hospital_name,amc_available_beds_with_oxygen,district,amc_occupied_beds_without_oxygen,private_occupied_beds_with_oxygen,available_icu_beds_with_ventilator,private_available_icu_beds_without_ventilator,available_icu_beds_without_ventilator,private_occupied_beds_without_oxygen,hospital_address,amc_occupied_beds_with_oxygen,private_available_beds_without_oxygen,private_occupied_icu_beds_without_ventilator,total_beds_with_oxygen,total_beds_without_oxygen,amc_available_beds_without_oxygen,area,total_icu_beds_with_ventilator,pincode,private_occupied_icu_beds_with_ventilator,amc_available_icu_beds_with_ventilator,amc_occupied_icu_beds_without_ventilator,amc_occupied_icu_beds_with_ventilator,available_beds_with_oxygen,amc_available_icu_beds_without_ventilator,private_available_beds_with_oxygen,total_icu_beds_without_ventilator,private_available_icu_beds_with_ventilator,hospital_phone,last_updated_on,hospital_poc_phone,charges,__delete__,hospital_poc_name,hospital_poc_designation,total_beds_allocated_to_covid,state,hospital_category,hospital_poc_email,facility_id,fee_regulated_beds,Notes,available_beds_allocated_to_covid,officer_name,officer_designation,bed_breakup,last_updated_time,last_updated_date
0,0,SMS HOSPITAL,30.0,Ahmedabad,0.0,242.0,10,0.0,3,68.0,"Near Tapovan Circle, Visat - Gandhinagar Hwy, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424, India",0.0,0.0,0.0,272,68,0.0,Chandkheda,55,,20.0,10.0,-1.0,25.0,30,3.0,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,
1,3,"Gujarat Cancer Society Medical College Hospital, Naroda",67.0,Ahmedabad,0.0,55.0,10,0.0,3,116.0,"Opp. D.R.M. Office, Naroda Rd, nr. Chamunda Bridge, Saraspur, Ahmedabad, Gujarat 380025, India",41.0,3.0,42.0,163,119,0.0,India Colony,16,380025,6.0,5.0,-1.0,0.0,67,3.0,0.0,45,5.0,,,,,,,,,,,,,,,,,,,,
2,11,"HCG Hospital, Mithakali",0.0,Ahmedabad,0.0,9.0,5,13.0,13,0.0,"Mithakhali Six Rd, kalyan Society, Maharashtra Society, Ellisbridge, Ahmedabad, Gujarat 380006, India",0.0,11.0,10.0,26,11,0.0,Navrangpura,5,380006,0.0,0.0,-1.0,0.0,17,0.0,17.0,23,5.0,,,,,,,,,,,,,,,,,,,,
3,0,Guru Prem,0.0,Ahmedabad,0.0,8.0,1,5.0,5,0.0,"D2, First Floor, Sahjanand Complex, Nr. Jaymangal BRTS Stop, 132 Feet Ring Rd, AEC Char Rasta, Naranpura, Ahmedabad, Gujarat 380013, India",0.0,0.0,2.0,8,0,0.0,NARANPURA,2,380013,1.0,0.0,-1.0,0.0,0,0.0,0.0,7,1.0,,,,,,,,,,,,,,,,,,,,
4,0,Care Plus,5.0,Ahmedabad,0.0,6.0,2,3.0,3,6.0,"6, Yash sagar Society, Near Satyanarayan Temple, Hari Nagar, Ghatlodiya, Ahmedabad, Gujarat 380061, India",0.0,0.0,21.0,13,6,0.0,Nava Wadaj,2,380061,0.0,0.0,-1.0,0.0,7,0.0,2.0,24,2.0,,,,,,,,,,,,,,,,,,,,
5,7,Turning Point Hriday Se,4.0,Ahmedabad,0.0,30.0,7,10.0,12,8.0,,0.0,7.0,3.0,48,15,0.0,Paldi,12,,4.0,0.0,-1.0,1.0,18,2.0,14.0,15,7.0,7265-920-920,,,,,,,,,,,,,,,,,,,
6,0,Rajdeep children hospital,2.0,Ahmedabad,0.0,3.0,0,1.0,1,2.0,"1st/2nd laxmi complex, opp old ONGC, Besides acher depot, adani cng pump sabarmati BRTS road, sabarmti, Sheetalkunj Society, Sabarmati, Ahmedabad, Gujarat 382424, India",0.0,0.0,14.0,5,2,0.0,Chandkheda,4,382424,4.0,0.0,-1.0,0.0,2,0.0,0.0,15,0.0,,,,,,,,,,,,,,,,,,,,
7,0,Mansarovar hospital,1.0,Ahmedabad,0.0,8.0,0,0.0,0,1.0,"Kheteswar Bhawan, Kirti Colony, Usmanpura Under Bridge, Near Vitthal Bhawan, 76/B/2, Ravjikaka Rd, Panchshil Society, Shanti Nagar, Usmanpura, Ahmedabad, Gujarat 380013, India",0.0,0.0,6.0,9,1,0.0,USMANPURA,0,380013,0.0,0.0,-1.0,0.0,1,0.0,0.0,6,0.0,,,,,,,,,,,,,,,,,,,,
8,0,Ansh multi. Spe. hospital,4.0,Ahmedabad,0.0,21.0,1,2.0,2,6.0,"1811, subhashnagar, 276, IOC Rd, Shradhapark Society, Laxmi Nagar, Gujarat Housing Board, Chandkheda, Ahmedabad, Gujarat 382424, India",0.0,0.0,13.0,28,6,0.0,Chankheda,2,382424,0.0,0.0,-1.0,1.0,7,0.0,3.0,15,1.0,,,,,,,,,,,,,,,,,,,,
9,0,Atharva hospital,2.0,Ahmedabad,0.0,5.0,0,0.0,0,4.0,"Bhimjipura Road, SKD Sunbeam, Vijay Cross Rd, Mevavala Nagar, Nava Vadaj, Ahmedabad, Gujarat 380013, India",0.0,0.0,8.0,7,4,0.0,NAVA VADAJ,8,380013,6.0,0.0,-1.0,2.0,2,0.0,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
10,0,Satyamev,3.0,Ahmedabad,0.0,5.0,2,1.0,1,6.0,"Satyamev Arcade, Bus Stop, State Highway, near Chandkheda, Chandkheda, Ahmedabad, Gujarat 382424, India",0.0,0.0,18.0,8,6,0.0,Chandkheda,13,382424,9.0,1.0,-1.0,2.0,3,0.0,0.0,19,1.0,,,,,,,,,,,,,,,,,,,,
11,0,Parth hospital,3.0,Ahmedabad,0.0,0.0,3,6.0,6,6.0,"Opposite anjali brts, Chandranagar Six Rd, Damubhai colony, Bansidhar Society, anjali, Ahmedabad, Gujarat 380007, India",0.0,0.0,10.0,13,6,0.0,VASNA,6,380007,1.0,0.0,-1.0,2.0,13,0.0,10.0,16,3.0,,,,,,,,,,,,,,,,,,,,
12,0,SENTARA HOSPITAL,4.0,Ahmedabad,0.0,4.0,3,3.0,3,5.0,"45, Karnavati Society, Bus Stand, near ShivShakti BRTS, Shradhapark Society, Gujarat Housing Board, Chandkheda, Ahmedabad, Gujarat 382424, India",0.0,0.0,12.0,15,5,0.0,Chandkheda,6,382424,2.0,0.0,-1.0,1.0,11,0.0,7.0,15,3.0,,,,,,,,,,,,,,,,,,,,
13,4,"Shalby, Navrangpura",0.0,Ahmedabad,0.0,11.0,0,0.0,0,0.0,"Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009, India",0.0,4.0,9.0,14,4,0.0,Navrangpura,0,380009,0.0,0.0,-1.0,0.0,3,0.0,3.0,9,0.0,,,,,,,,,,,,,,,,,,,,
14,0,Mansi hospital,1.0,Ahmedabad,0.0,18.0,0,0.0,0,1.0,"Akhbar Nagar Cir, Krushikunj Society, Nava Vadaj, Ahmedabad, Gujarat 380013, India",0.0,0.0,6.0,22,1,0.0,Nava Vadaj,0,380013,0.0,0.0,-1.0,0.0,4,0.0,3.0,6,0.0,,,,,,,,,,,,,,,,,,,,
15,0,LOTUS,3.0,Ahmedabad,0.0,3.0,2,5.0,5,4.0,"2nd Floor, # 382424, 33, Gujarat State Highway 41, Chandkheda, Ahmedabad, Gujarat 382424, India",0.0,0.0,4.0,15,4,0.0,Motera,3,382424,0.0,0.0,-1.0,1.0,12,0.0,9.0,9,2.0,,,,,,,,,,,,,,,,,,,,
16,3,"Trisha multi speciality, Nirnay nagar",4.0,Ahmedabad,0.0,29.0,0,0.0,0,4.0,"6-7 th floor, Dream Square Complex, Akhbar Nagar, Nirnay Nagar, Ahmedabad, Gujarat 380013, India",0.0,3.0,13.0,34,7,0.0,Nava Wadaj,0,380013,0.0,0.0,-1.0,0.0,5,0.0,1.0,13,0.0,,,,,,,,,,,,,,,,,,,,
17,0,TLGH,0.0,Ahmedabad,0.0,5.0,1,3.0,3,2.0,"18/H ,karnavatisociety,Nr.maruti furniture, opp. sharda petrol pump, Shradhapark Society, Laxmi Nagar, Gujarat Housing Board, Chandkheda, Ahmedabad, Gujarat 382424, India",2.0,0.0,9.0,12,2,0.0,Chandkheda,5,382424,4.0,0.0,-1.0,0.0,5,0.0,5.0,12,1.0,,,,,,,,,,,,,,,,,,,,
18,0,"Saviour Annexe Hospital, Ashram road",3.0,Ahmedabad,0.0,10.0,2,4.0,4,4.0,"Ashram Road, Shreyas Colony, Navrangpura, near Kandoi Bhogilal Mulchand, Shreyas Colony, Navrangpura, Ahmedabad, Gujarat 380009, India",0.0,0.0,19.0,14,4,0.0,Navrangpura,3,380009,0.0,0.0,-1.0,1.0,4,0.0,1.0,23,2.0,079 2657 5151,,,,,,,,,,,,,,,,,,,
19,3,"Sushrusha, Navrangpura",5.0,Ahmedabad,0.0,7.0,6,6.0,6,6.0,"CG Road Opposite Navrangpura Tel Exchange, Sardar Patel Samaj, Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009, India",0.0,3.0,25.0,32,9,0.0,Navrangpura,9,380009,2.0,0.0,-1.0,1.0,25,0.0,20.0,31,6.0,,,,,,,,,,,,,,,,,,,,
20,0,Bodyline Hospital,16.0,Ahmedabad,0.0,4.0,3,10.0,12,19.0,"Opp Annapurna Hall, Besides, Dev Status, New Vikas Gruh Rd, Prabhat Society, Paldi, Ahmedabad, Gujarat 380007, India",0.0,0.0,54.0,31,19,0.0,paldi,3,380007,0.0,1.0,-1.0,0.0,27,2.0,11.0,66,2.0,,,,,,,,,,,,,,,,,,,,
21,0,Navjivan,0.0,Ahmedabad,0.0,0.0,2,0.0,0,0.0,"GF-14, Trishala Apartments, New CG Rd, opposite Sakar English School, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424, India",0.0,0.0,0.0,0,0,0.0,Chandkheda,2,382424,0.0,0.0,-1.0,0.0,0,0.0,0.0,0,2.0,,,,,,,,,,,,,,,,,,,,
22,5,"Aartham Hospital, Ambawadi,",7.0,Ahmedabad,0.0,70.0,6,10.0,10,11.0,"Opp. Government Polytechnic College, near Panjrapole Cross Road, L Colony, Ambawadi, Ahmedabad, Gujarat 380015, India",0.0,5.0,12.0,92,16,0.0,Navarangpura,9,380015,0.0,0.0,-1.0,3.0,22,0.0,15.0,22,6.0,,,,,,,,,,,,,,,,,,,,
23,0,Shailya,3.0,Ahmedabad,0.0,6.0,0,1.0,1,4.0,"Sardar Patel Stadium Rd, Mahadevnagar Society, Navrangpura, Ahmedabad, Gujarat 380014, India",0.0,0.0,8.0,15,4,0.0,stadium,6,380014,5.0,0.0,-1.0,1.0,9,0.0,6.0,9,0.0,,,,,,,,,,,,,,,,,,,,
24,0,"Solar Hospital, Naranpura,",2.0,Ahmedabad,0.0,12.0,4,7.0,8,4.0,"Binali Complex B-block, Opposite Torrent Power Office, Near AEC Cross Road, Naranpura, Naranpura, Ahmedabad, Gujarat 380013, India",0.0,0.0,5.0,15,4,0.0,Naranpura,4,380013,0.0,1.0,-1.0,0.0,3,1.0,1.0,13,3.0,,,,,,,,,,,,,,,,,,,,
25,0,Arham ICU & Troma,1.0,Ahmedabad,0.0,3.0,2,6.0,6,1.0,"412, Dream Square, Opp. Ramdevpir Temple, Nr. Nirnay Nagar Underbridge, Akhbar Nagar, Nava Vadaj, Ahmedabad, Gujarat 380013, India",0.0,0.0,5.0,4,1,0.0,NAVA VADAJ,2,380013,0.0,0.0,-1.0,0.0,1,0.0,0.0,11,2.0,,,,,,,,,,,,,,,,,,,,
26,8,Kidney Health,1.0,Ahmedabad,0.0,23.0,4,2.0,2,4.0,"50, near Lakhudi Cross Road, beside Bank of India, Nathalal Colony, Naranpura, Ahmedabad, Gujarat 380009, India",0.0,8.0,2.0,25,12,0.0,NARANPURA,12,380009,6.0,0.0,-1.0,2.0,2,0.0,1.0,4,4.0,,,,,,,,,,,,,,,,,,,,
27,0,"Nidhi Hospital, Navrangpura",11.0,Ahmedabad,0.0,0.0,4,3.0,3,14.0,"Shree Kunj Building Stadium Commerce College Road, Commerce Six Rd, Nr Azad Sweets, Hindu Colony, Navrangpura, Ahmedabad, Gujarat 380009, India",2.0,0.0,40.0,24,14,0.0,Navrangpura,7,380009,2.0,0.0,-1.0,1.0,22,0.0,11.0,43,4.0,,,,,,,,,,,,,,,,,,,,
28,4,PUSHYA HOSPITAL,1.0,Ahmedabad,0.0,36.0,0,1.0,1,2.0,"32, Sardar Patel Nagar, Opp. ABC-1, near Wagh Bakri Tea Lounge, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009, India",0.0,4.0,2.0,38,6,0.0,Navrangpura,2,380009,1.0,0.0,-1.0,1.0,2,0.0,1.0,3,0.0,,,,,,,,,,,,,,,,,,,,
